Image,CRITICAL,HIGH,MEDIUM,LOW,UNKNOWN
mailhog_mailhog_latest,88,1061,892,23,21
rancher_klipper-helm_v0.8.4-build20240523,17,139,205,12,7
grafana_promtail_2.9.2,9,43,107,101,5
rancher_mirrored-coredns-coredns_1.10.1,4,25,40,1,1
us-central1-docker.pkg.dev_google-samples_microservices-demo_loadgenerator_v0.10.3,3,17,64,88,1
rancher_mirrored-library-traefik_2.10.7,3,15,62,7,3
grafana_loki_2.9.2,2,16,63,5,3
rancher_local-path-provisioner_v0.0.28,2,13,44,7,3
rancher_mirrored-metrics-server_v0.7.0,2,9,29,0,4
us-central1-docker.pkg.dev_google-samples_microservices-demo_recommendationservice_v0.10.3,2,7,17,6,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_currencyservice_v0.10.3,1,7,9,10,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_paymentservice_v0.10.3,1,7,10,10,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_adservice_v0.10.3,0,8,21,11,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_frontend_v0.10.3,0,7,18,0,1
us-central1-docker.pkg.dev_google-samples_microservices-demo_emailservice_v0.10.3,0,7,21,6,2
us-central1-docker.pkg.dev_google-samples_microservices-demo_shippingservice_v0.10.3,0,7,18,0,1
us-central1-docker.pkg.dev_google-samples_microservices-demo_checkoutservice_v0.10.3,0,7,18,0,1
us-central1-docker.pkg.dev_google-samples_microservices-demo_productcatalogservice_v0.10.3,0,5,17,0,1
rancher_klipper-lb_v0.4.9,0,4,9,7,2
grafana_grafana_latest,0,3,6,3,3
prom_prometheus_latest,0,2,4,0,2
prom_alertmanager_latest,0,2,4,0,2
otel_opentelemetry-collector-contrib_0.139.0,0,2,2,0,1
grafana_tempo_latest,0,1,0,0,1
prom_pushgateway_latest,0,1,2,0,1
redis_alpine,0,0,3,3,0
us-central1-docker.pkg.dev_google-samples_microservices-demo_cartservice_v0.10.3,0,0,5,6,0
python_3.9-slim,0,0,12,51,0
